date,stayput,pct_movement_changes
2021-01-01,0.22863,-0.07346
2021-01-02,0.23096,-0.02941
2021-01-03,0.22832,-0.01691
2021-01-04,0.20486,-0.007895
2021-01-05,0.21414,-0.02771
2021-01-06,0.21946,-0.0418
2021-01-07,0.22083,-0.04541
2021-01-08,0.22324,-0.04957
2021-01-09,0.23032,-0.04667
2021-01-10,0.235,-0.06562
2021-01-11,0.21063,-0.04142
2021-01-12,0.22254,-0.06838
2021-01-13,0.22908,-0.08211
2021-01-14,0.22804,-0.09776
2021-01-15,0.22932,-0.11231
2021-01-16,0.23727,-0.11366
2021-01-17,0.24571,-0.13626
2021-01-18,0.22225,-0.10359
2021-01-19,0.22765,-0.10181
2021-01-20,0.22454,-0.09156
2021-01-21,0.22427,-0.08927
2021-01-22,0.22899,-0.09944
2021-01-23,0.2306,-0.09926
2021-01-24,0.24274,-0.12872
2021-01-25,0.21703,-0.08528
2021-01-26,0.2267,-0.09715
2021-01-27,0.2308,-0.10014
2021-01-28,0.23256,-0.10903
2021-01-29,0.23212,-0.10773
2021-01-30,0.237785,-0.10446
2021-01-31,0.23791,-0.10494
2021-02-01,0.214255,-0.076465
2021-02-02,0.2216,-0.07595
2021-02-03,0.23236,-0.1045
2021-02-04,0.231955,-0.10643
2021-02-05,0.22987,-0.100925
2021-02-06,0.237,-0.09496
2021-02-07,0.24218,-0.11424
2021-02-08,0.21712,-0.0781
2021-02-09,0.22041,-0.07116
2021-02-10,0.22626,-0.11627
2021-02-11,0.219735,-0.06231
2021-02-12,0.25862,-0.13757
2021-02-13,0.23693,-0.10943
2021-02-14,0.24275,-0.11059
2021-02-15,0.21417,-0.07076
2021-02-16,0.22149,-0.07452
2021-02-17,0.22156,-0.07897
2021-02-18,0.22659,-0.09236
2021-02-19,0.22971,-0.10018
2021-02-20,0.237395,-0.098835
2021-02-21,0.23829,-0.1193
2021-02-22,0.21694,-0.081885
2021-02-23,0.2244,-0.09605
2021-02-24,0.22985,-0.09667
2021-02-25,0.22755,-0.088975
2021-02-26,0.225855,-0.091805
2021-02-27,0.23094,-0.07429
2021-02-28,0.234355,-0.09861
2021-03-01,0.20838,-0.059745
2021-03-02,0.218925,-0.07368
2021-03-03,0.21998,-0.074195
2021-03-04,0.220315,-0.073855
2021-03-05,0.22065,-0.07526
2021-03-06,0.23084,-0.074835
2021-03-07,0.24256,-0.107265
2021-03-08,0.210985,-0.05905
2021-03-09,0.21729,-0.06566
2021-03-10,0.21599,-0.04744
2021-03-11,0.25198,-0.10499
2021-03-12,0.22659,-0.08234
2021-03-13,0.227935,-0.07217
2021-03-14,0.23738,-0.089835
2021-03-15,0.20553,-0.03998
2021-03-16,0.21501,-0.0612
2021-03-17,0.21883,-0.06608
2021-03-18,0.21892,-0.06341
2021-03-19,0.21898,-0.05849
2021-03-20,0.22304,-0.05779
2021-03-21,0.231,-0.074385
2021-03-22,0.206225,-0.03982
2021-03-23,0.21661,-0.05897
2021-03-24,0.21901,-0.0632
2021-03-25,0.21819,-0.05612
2021-03-26,0.217985,-0.051525
2021-03-27,0.22436,-0.04425
2021-03-28,0.23101,-0.0838
2021-03-29,0.21062,-0.048280000000000003
2021-03-30,0.21777,-0.05524
2021-03-31,0.21894,-0.05069
2021-04-01,0.21437,-0.02157
2021-04-02,0.24406,-0.07911499999999999
2021-04-03,0.2194,-0.0255
2021-04-04,0.2182,-0.02161
2021-04-05,0.19895,4.45e-4
2021-04-06,0.20579,-0.012835
2021-04-07,0.20895,-0.01532
2021-04-08,0.2079,-0.003945
2021-04-09,0.206285,5.25e-4
2021-04-10,0.20657,0.027805
2021-04-11,0.2114,0.004855
2021-04-12,0.19296,0.04683
2021-04-13,0.253265,-0.136345
2021-04-14,0.239825,-0.105845
2021-04-15,0.233955,-0.09603
2021-04-16,0.23503,-0.107775
2021-04-17,0.25188,-0.13995000000000002
2021-04-18,0.26742,-0.189315
2021-04-19,0.21786,-0.07344500000000001
2021-04-20,0.221775,-0.05372499999999999
2021-04-21,0.22011,-0.05409
2021-04-22,0.22259,-0.08094000000000001
2021-04-23,0.230385,-0.08049
2021-04-24,0.238745,-0.09476
2021-04-25,0.25451500000000005,-0.151675
2021-04-26,0.2139,-0.05004
2021-04-27,0.22212,-0.05695
2021-04-28,0.22244,-0.0589
2021-04-29,0.22177,-0.05375
2021-04-30,0.22209,-0.03717
2021-05-01,0.23756,-0.05981
2021-05-02,0.23734,-0.09339
2021-05-03,0.200015,0.009655
2021-05-04,0.20534,0.02512
2021-05-05,0.207505,0.02037
2021-05-06,0.21499,-0.0452
2021-05-07,0.21918,-0.06689
2021-05-08,0.222575,-0.07392
2021-05-09,0.23023,-0.122045
2021-05-10,0.20172,-0.02591
2021-05-11,0.20599,-0.014395
2021-05-12,0.226875,-0.09474
2021-05-13,0.173615,-0.05807
2021-05-14,0.21366,-0.05832
2021-05-15,0.19938,0.0182
2021-05-16,0.20935,0.00504
2021-05-17,0.20229,-0.00118
2021-05-18,0.20929,0.02261
2021-05-19,0.20972,0.01943
2021-05-20,0.207515,0.027055
2021-05-21,0.21387,-0.00663
2021-05-22,0.2174,0.0089
2021-05-23,0.21624,0.00841
2021-05-24,0.19882,0.01778
2021-05-25,0.20291,0.02816
2021-05-26,0.23791,-0.01687
2021-05-27,0.21053,-0.00821
2021-05-28,0.21549,-0.0237
2021-05-29,0.22058,-0.01136
2021-05-30,0.224225,-0.021245
2021-05-31,0.19973,0.01357
2021-06-01,0.2354,-0.02146
2021-06-02,0.2,0.01906
2021-06-03,0.20198,-0.00311
2021-06-04,0.21063,-0.01439
2021-06-05,0.21398,0.00275
2021-06-06,0.22072,-0.02195
2021-06-07,0.19629,0.009505
2021-06-08,0.20389,0.00924
2021-06-09,0.20312,0.00446
2021-06-10,0.20512,-0.01567
2021-06-11,0.21316,-0.02553
2021-06-12,0.22091,-0.01847
2021-06-13,0.2275,-0.03941
2021-06-14,0.20649,-0.013
2021-06-15,0.21312999999999999,-0.01848
2021-06-16,0.21064,-0.01302
2021-06-17,0.20958,-0.02804
2021-06-18,0.21625,-0.03843
2021-06-19,0.22257,-0.02735
2021-06-20,0.240235,-0.06813
2021-06-21,0.210755,-0.023895
2021-06-22,0.22167,-0.02954
2021-06-23,0.21873,-0.02429
2021-06-24,0.21913,-0.03165
2021-06-25,0.2222,-0.04173
2021-06-26,0.22816,-0.03032
2021-06-27,0.24444,-0.07098499999999999
2021-06-28,0.22153,-0.03377
2021-06-29,0.23091,-0.05594
2021-06-30,0.22889,-0.04621
2021-07-01,0.22916,-0.04602
2021-07-02,0.233,-0.05298
2021-07-03,0.24117,-0.05271
2021-07-04,0.25246,-0.08674
2021-07-05,0.22595,-0.04574
2021-07-06,0.23417,-0.04712
2021-07-07,0.23321,-0.04763
2021-07-08,0.23974,-0.07869
2021-07-09,0.248625,-0.086085
2021-07-10,0.256255,-0.092735
2021-07-11,0.27373,-0.15218
2021-07-12,0.23112,-0.08344
2021-07-13,0.24178,-0.0893
2021-07-14,0.24006,-0.09177
2021-07-15,0.23938,-0.1021
2021-07-16,0.25128,-0.11612
2021-07-17,0.2566,-0.10827
2021-07-18,0.27185,-0.15849
2021-07-19,0.2332,-0.06984
2021-07-20,0.26442,-0.18714
2021-07-21,0.238695,-0.082355
2021-07-22,0.23865,-0.08394
2021-07-23,0.25029,-0.11822
2021-07-24,0.25921,-0.13642
2021-07-25,0.275135,-0.179595
2021-07-26,0.23597,-0.1198
2021-07-27,0.24534,-0.13665
2021-07-28,0.25038,-0.14603
2021-07-29,0.25436,-0.15515
2021-07-30,0.2552,-0.15141
2021-07-31,0.25772,-0.13843
2021-08-01,0.268525,-0.16419
2021-08-02,0.23325,-0.09247
