province_name,province_code_gadm,date,stayput,pct_movement_changes
Aceh,IDN.1_1,2021-01-01,0.19776,0.04454
Aceh,IDN.1_1,2021-01-02,0.19488,0.04824
Aceh,IDN.1_1,2021-01-03,0.19634,0.05525
Aceh,IDN.1_1,2021-01-04,0.17901,0.01758
Aceh,IDN.1_1,2021-01-05,0.18606,-0.00764
Aceh,IDN.1_1,2021-01-06,0.18325,0.00684
Aceh,IDN.1_1,2021-01-07,0.18116,0.00553
Aceh,IDN.1_1,2021-01-08,0.20967,-0.02142
Aceh,IDN.1_1,2021-01-09,0.20842,-0.01811
Aceh,IDN.1_1,2021-01-10,0.20292,-0.03713
Aceh,IDN.1_1,2021-01-11,0.18458,-0.0184
Aceh,IDN.1_1,2021-01-12,0.19187,-0.02084
Aceh,IDN.1_1,2021-01-13,0.19193,-0.0375
Aceh,IDN.1_1,2021-01-14,0.18068,-0.02674
Aceh,IDN.1_1,2021-01-15,0.18539,-0.00574
Aceh,IDN.1_1,2021-01-16,0.21957,-0.07521
Aceh,IDN.1_1,2021-01-17,0.19597,-0.0501
Aceh,IDN.1_1,2021-01-18,0.17429,-0.03114
Aceh,IDN.1_1,2021-01-19,0.17893,-0.04211
Aceh,IDN.1_1,2021-01-20,0.18908,-0.03469
Aceh,IDN.1_1,2021-01-21,0.1793,-0.01693
Aceh,IDN.1_1,2021-01-22,0.18836,0.00308
Aceh,IDN.1_1,2021-01-23,0.19362,-0.05132
Aceh,IDN.1_1,2021-01-24,0.20102,-0.05532
Aceh,IDN.1_1,2021-01-25,0.18245,-0.02096
Aceh,IDN.1_1,2021-01-26,0.18906,-0.01336
Aceh,IDN.1_1,2021-01-27,0.19138,-0.04151
Aceh,IDN.1_1,2021-01-28,0.19243,-0.04337
Aceh,IDN.1_1,2021-01-29,0.19661,-0.0391
Aceh,IDN.1_1,2021-01-30,0.19828,-0.04945
Aceh,IDN.1_1,2021-01-31,0.19554,-0.03923
Aceh,IDN.1_1,2021-02-01,0.17705,-0.03493
Aceh,IDN.1_1,2021-02-02,0.18558,-0.02484
Aceh,IDN.1_1,2021-02-03,0.19885,-0.03953
Aceh,IDN.1_1,2021-02-04,0.19346,-0.03818
Aceh,IDN.1_1,2021-02-05,0.19323,-0.02634
Aceh,IDN.1_1,2021-02-06,0.19232,-0.0356
Aceh,IDN.1_1,2021-02-07,0.20194,-0.04723
Aceh,IDN.1_1,2021-02-08,0.18972,-0.04887
Aceh,IDN.1_1,2021-02-09,0.18376,-0.0377
Aceh,IDN.1_1,2021-02-10,0.18931,-0.06731
Aceh,IDN.1_1,2021-02-11,0.18794,-0.01426
Aceh,IDN.1_1,2021-02-12,0.22207,-0.03818
Aceh,IDN.1_1,2021-02-13,0.20117,-0.04927
Aceh,IDN.1_1,2021-02-14,0.20463,-0.04749
Aceh,IDN.1_1,2021-02-15,0.1785,-0.03503
Aceh,IDN.1_1,2021-02-16,0.18319,-0.02143
Aceh,IDN.1_1,2021-02-17,0.19147,-0.02015
Aceh,IDN.1_1,2021-02-18,0.18813,-0.03447
Aceh,IDN.1_1,2021-02-19,0.19113,-0.03068
Aceh,IDN.1_1,2021-02-20,0.19436,-0.02933
Aceh,IDN.1_1,2021-02-21,0.2066,-0.0615
Aceh,IDN.1_1,2021-02-22,0.18209,-0.04166
Aceh,IDN.1_1,2021-02-23,0.18156,-0.04624
Aceh,IDN.1_1,2021-02-24,0.18843,-0.0392
Aceh,IDN.1_1,2021-02-25,0.18185,-0.03225
Aceh,IDN.1_1,2021-02-26,0.1932,-0.03879
Aceh,IDN.1_1,2021-02-27,0.20047,-0.0363
Aceh,IDN.1_1,2021-02-28,0.20064,-0.05594
Aceh,IDN.1_1,2021-03-01,0.18712,-0.02699
Aceh,IDN.1_1,2021-03-02,0.17864,-0.03439
Aceh,IDN.1_1,2021-03-03,0.19056,-0.02321
Aceh,IDN.1_1,2021-03-04,0.18198,-0.01995
Aceh,IDN.1_1,2021-03-05,0.20357,-0.01732
Aceh,IDN.1_1,2021-03-06,0.20334,-0.02858
Aceh,IDN.1_1,2021-03-07,0.21858,-0.05611
Aceh,IDN.1_1,2021-03-08,0.17699,-0.02925
Aceh,IDN.1_1,2021-03-09,0.1825,-0.02243
Aceh,IDN.1_1,2021-03-10,0.19069,-0.00835
Aceh,IDN.1_1,2021-03-11,0.2243,-0.04585
Aceh,IDN.1_1,2021-03-12,0.19741,-0.04938
Aceh,IDN.1_1,2021-03-13,0.20797,-0.02746
Aceh,IDN.1_1,2021-03-14,0.20843,-0.03585
Aceh,IDN.1_1,2021-03-15,0.17565,-0.0243
Aceh,IDN.1_1,2021-03-16,0.18755,-0.03164
Aceh,IDN.1_1,2021-03-17,0.1982,-0.01766
Aceh,IDN.1_1,2021-03-18,0.18544,-0.01258
Aceh,IDN.1_1,2021-03-19,0.19272,-0.01562
Aceh,IDN.1_1,2021-03-20,0.19203,-0.03144
Aceh,IDN.1_1,2021-03-21,0.20177,-0.03321
Aceh,IDN.1_1,2021-03-22,0.17907,-0.0219
Aceh,IDN.1_1,2021-03-23,0.18555,-0.0116
Aceh,IDN.1_1,2021-03-24,0.19864,-0.02531
Aceh,IDN.1_1,2021-03-25,0.19417,-0.03207
Aceh,IDN.1_1,2021-03-26,0.20229,-0.02786
Aceh,IDN.1_1,2021-03-27,0.2095,-0.01237
Aceh,IDN.1_1,2021-03-28,0.22085,-0.09048
Aceh,IDN.1_1,2021-03-29,0.19077,-0.0744
Aceh,IDN.1_1,2021-03-30,0.19432,-0.04073
Aceh,IDN.1_1,2021-03-31,0.19104,-0.01577
Aceh,IDN.1_1,2021-04-01,0.18168,0.02188
Aceh,IDN.1_1,2021-04-02,0.22797,-0.04046
Aceh,IDN.1_1,2021-04-03,0.19547,-0.00246
Aceh,IDN.1_1,2021-04-04,0.19947,0.00343
Aceh,IDN.1_1,2021-04-05,0.16885,0.0305
Aceh,IDN.1_1,2021-04-06,0.17474,0.02195
Aceh,IDN.1_1,2021-04-07,0.18051,0.01047
Aceh,IDN.1_1,2021-04-08,0.16543,0.05662
Aceh,IDN.1_1,2021-04-09,0.16694,0.08489
Aceh,IDN.1_1,2021-04-10,0.1666,0.1106
Aceh,IDN.1_1,2021-04-11,0.16571,0.08877
Aceh,IDN.1_1,2021-04-12,0.15706,0.07709
Aceh,IDN.1_1,2021-04-13,0.24394,-0.18688
Aceh,IDN.1_1,2021-04-14,0.21904,-0.11318
Aceh,IDN.1_1,2021-04-15,0.21212,-0.09245
Aceh,IDN.1_1,2021-04-16,0.23648,-0.11458
Aceh,IDN.1_1,2021-04-17,0.23137,-0.13769
Aceh,IDN.1_1,2021-04-18,0.24456,-0.15772
Aceh,IDN.1_1,2021-04-19,0.2082,-0.09902
Aceh,IDN.1_1,2021-04-20,0.21187,-0.06455
Aceh,IDN.1_1,2021-04-21,0.20683000000000001,-0.05271
Aceh,IDN.1_1,2021-04-22,0.21812,-0.0944
Aceh,IDN.1_1,2021-04-23,0.21994,-0.0651
Aceh,IDN.1_1,2021-04-24,0.23809,-0.12197
Aceh,IDN.1_1,2021-04-25,0.24376,-0.18928
Aceh,IDN.1_1,2021-04-26,0.20522,-0.08822
Aceh,IDN.1_1,2021-04-27,0.20684,-0.07566
Aceh,IDN.1_1,2021-04-28,0.20548,-0.03563
Aceh,IDN.1_1,2021-04-29,0.20956,-0.04255
Aceh,IDN.1_1,2021-04-30,0.20418,-0.01405
Aceh,IDN.1_1,2021-05-01,0.22537,-0.04494
Aceh,IDN.1_1,2021-05-02,0.21244,-0.10633
Aceh,IDN.1_1,2021-05-03,0.18399,0.00367
Aceh,IDN.1_1,2021-05-04,0.1861,0.02587
Aceh,IDN.1_1,2021-05-05,0.19993,0.02843
Aceh,IDN.1_1,2021-05-06,0.19012,0.00241
Aceh,IDN.1_1,2021-05-07,0.19592,-0.03216
Aceh,IDN.1_1,2021-05-08,0.1989,-0.03408
Aceh,IDN.1_1,2021-05-09,0.2056,-0.1123
Aceh,IDN.1_1,2021-05-10,0.17634,0.00195
Aceh,IDN.1_1,2021-05-11,0.1765,0.01629
Aceh,IDN.1_1,2021-05-12,0.1927,-0.01214
Aceh,IDN.1_1,2021-05-13,0.14586,0.08633
Aceh,IDN.1_1,2021-05-14,0.18255,0.10652
Aceh,IDN.1_1,2021-05-15,0.14401,0.36356
Aceh,IDN.1_1,2021-05-16,0.1493,0.27573
Aceh,IDN.1_1,2021-05-17,0.18524,0.06608
Aceh,IDN.1_1,2021-05-18,0.18465,0.14408
Aceh,IDN.1_1,2021-05-19,0.17437,0.09144
Aceh,IDN.1_1,2021-05-20,0.17933,0.07888
Aceh,IDN.1_1,2021-05-21,0.18726,0.06425
Aceh,IDN.1_1,2021-05-22,0.19335,0.0551
Aceh,IDN.1_1,2021-05-23,0.19599,0.03667
Aceh,IDN.1_1,2021-05-24,0.17591,0.04721
Aceh,IDN.1_1,2021-05-25,0.17663,0.0626
Aceh,IDN.1_1,2021-05-26,0.2256,-0.03127
Aceh,IDN.1_1,2021-05-27,0.19249,0.02383
Aceh,IDN.1_1,2021-05-28,0.20834,-0.02702
Aceh,IDN.1_1,2021-05-29,0.20104,-0.01463
Aceh,IDN.1_1,2021-05-30,0.2148,-0.02743
Aceh,IDN.1_1,2021-05-31,0.19493,-0.02939
Aceh,IDN.1_1,2021-06-01,0.22074,-0.05027
Aceh,IDN.1_1,2021-06-02,0.19103,0.01961
